id,budget,production_companies,production_countries,revenue,spoken_languages,genres,runtime,tagline,crew,cast-name
1216452,0,['Les improductibles'],['France'],0,['French'],['Comedy'],103,,"{'Director': 'Romain Choay', 'Screenplay': 'Romain Choay', 'Director of Photography': 'Patrick Ghiringhelli', 'Property Master': 'Julien Sellam', 'Production Design': 'Damien Rondeau', 'Key Makeup Artist': 'Anne Caramagnol', 'Second Assistant Director': 'Michaël Ben Hammouda', 'Third Assistant Director': 'Nathan Lellouche', 'First Assistant Director': 'Lucie Wagner', 'Set Designer': 'Elise Boyadjian', 'Assistant Art Director': 'Thomas Savary', 'Storyboard Artist': 'Loïc Fontimpe', 'Assistant Set Decoration': 'Léa Troncy', 'Stunt Double': 'Matthieu Boulanger', 'Stunt Coordinator': 'David Genty', 'Stunt Driver': 'Alice Naigeon', 'Gaffer': 'Guillaume Ader', 'Grip': 'Laura Salavin', 'Drone Pilot': 'Walter Romand', 'Key Grip': 'Guillaume Colbeau-Justin', 'Camera Operator': 'Frederic Moura', 'Additional Grip': 'Robin Gasnier', 'Video Assist Operator': 'Baptiste Lonjaret', 'Electrician': 'Lise Porte', 'Music Producer': 'Pierre-Marie Dru', 'Music Supervisor': 'Pierre-Marie Dru', 'Original Music Composer': 'Lionel Limiñana', 'Costume Design': 'Pauline Jacquard', 'Makeup Artist': 'Alice Bourlanges', 'Hair Department Head': 'Romaric Colombini', 'Production Manager': 'Benoît Baverel', 'ADR Editor': 'Anna Devillaire', 'Foley Artist': 'Judith Guittier', 'Foley Mixer': 'Julien Martin', 'Second Assistant Camera': 'Josue Daniel Acuña', 'Additional Camera': 'Amélie Gastaldi'}","['Audrey Lamy', 'Fabrice Eboué', 'Anouk Grinberg', 'Pauline Clément', 'Louise Coldefy', 'Sami Outalbali', 'Victor Meutelet', 'Mathieu Lourdel', 'Illyès Salah', 'Ayumi Roux', 'Yasin Houicha', 'Guy Lecluyse', 'Sam Karmann', 'Anne Charrier', 'Ines Angelina Mnafek-Amandio', 'Esteban Hernandez-Sanchez', 'Vincent Pasdermadjian', 'Louis Valentin', 'Inès Melab', 'Sara Ginac', 'Camille Charbeau', 'Cyril Couton']"
978582,0,"['Unicorn Films', 'Immaculate Conception Film', 'Wynn Media']",['Australia'],0,[],['Drama'],127,There's always more than one way to win a fight,"{'Director': 'Paul Goldman', 'Producer': 'Bruno Charlesworth', 'Executive Producer': 'Matthew Gledhill', 'Writer': 'John Brumpton', 'Cinematography': 'Garry Phillips', 'Editor': 'Sean Lahiff'}","['Billy Howle', 'Phoebe Tonkin', 'Tom Bateman', 'Mark Coles Smith', 'Hunter Page-Lochard', 'Shaka Cook', 'Nathan Phillips', 'Jack LaTorre', 'Tasma Walton', 'Robert Taylor', 'Tristan Gorey', 'Vito de Francesco', 'John Brumpton', 'Nick Britton', 'Jono Watts']"
1156130,0,"['Plio Ltd', 'Film i Väst', 'Common Ground Pictures', 'NOMAD Films']","['Poland', 'Sweden']",52998,['Polish'],['Drama'],132,,"{'Director': 'Michał Englert', 'Producer': 'Michał Englert', 'Writer': 'Michał Englert', 'Director of Photography': 'Michał Englert', 'Editor': 'Jarosław Kamiński', 'Costume Designer': 'Anna Englert', 'Original Music Composer': 'Radzimir Dębski', 'Sound': 'Filip Krzemień', 'Casting Director': 'Magdalena Szwarcbart', 'Production Design': 'Marek Zawierucha', 'Production Manager': 'Krzysztof Łojan', 'Still Photographer': 'Hubert Komerski', 'Health and Safety': 'Wojciech Konkol', 'Stunt Coordinator': 'Jarosław Golec', 'Stunts': 'Mateusz Głowacki', 'Catering': 'Ryszard Kluza', 'Assistant Production Manager': 'Michał Marceli Kowalski', 'Administration': 'Monika Treichel', 'Administrative Assistant': 'Mateusz Przygoda', 'Post Production Coordinator': 'Martyna Korablewska-Szpetmańska', 'Post-Production Manager': 'Martyna Korablewska-Szpetmańska', 'Co-Producer': 'Kristina Börjeson', 'Associate Producer': 'Nick Shumaker', ""Producer's Assistant"": 'Gabriela Gajewska', 'Extras Casting': 'Agnieszka Smoleń', 'Assistant Makeup Artist': 'Anna Sawicka', 'Sound Effects Editor': 'Franciszek Papis', 'Dialogue Editor': 'Szymon Kadej', 'Sound Director': 'Marcin Kasiński', 'Music Consultant': 'Daniel Siek', 'Conductor': 'Radzimir Dębski', 'Musician': 'Radzimir Dębski', 'Assistant Costume Designer': 'Tomasz Ciesielski', 'Costume Design': 'Anna Englert', 'Sculptor': 'Szymon Latocha', 'Painter': 'Iwona Zięba', 'Carpenter': 'Władysław Kalisz', 'Props': 'Filip Graliński', 'Interior Designer': 'Ewa Mroczkowska', 'Assistant Production Design': 'Tobiasz Frączek', 'Digital Intermediate': 'Kamil Komorek', 'Key Grip': 'Paweł Dylik', 'Grip': 'Jakub Nocek', 'Master Lighting Artist': 'Mariusz Szczęsny', 'Steadicam Operator': 'Tomasz Karnowski', 'Camera Operator': 'Michał Englert', 'Casting': 'Magdalena Szwarcbart', 'Assistant Director': 'Natalia Wojda', 'Makeup Department Head': 'Monika Kaleta'}","['Małgorzata Hajewska-Krzysztofik', 'Joanna Kulig', 'Mateusz Więcławek', 'Bogumiła Bajor', 'Jerzy Bończak', 'Anna Tomaszewska', 'Jacek Braciak', 'Renata Dancewicz', 'Franciszek Englert', 'Mikołaj Chroboczek', 'Tomasz Schuchardt', 'Mikołaj Grabowski', 'Helena Sujecka', 'Krystyna Krotoska', 'Mirosław Kropielnicki', 'Paweł Tomaszewski', 'Piotr Polak', 'Zbigniew Konopka', 'Maciej Miszczak', 'Anna Grodzka', 'Anna Krotoska', 'Edyta Baker', 'Zenobia Żaczek', 'Maciej Misiorny', 'Pepe Le Puke', 'Wojciech Mecwaldowski', 'Marta Nieradkiewicz', 'Piotr Bondyra', 'Pola Gonciarz', 'Piotr Cyrwus', 'Filip Rutkowski', 'Magdalena Szwarcbart', 'Anu Czerwiński', 'Konrad Braciak', 'Lisa Bajdowska', 'Sylvia Baudelaire', 'Antoni Barłowski', 'Antoni Bucholc', 'Joanna Chułek', 'Liam Culbreth', 'Krzysztof Cybiński', 'Monika Dawidziuk', 'Kora Dżus', 'Grażyna Fołta-Muszyńska', 'Angela Getler', 'Stefa Gosiewsk', 'Anka Graczyk', 'Jarosław Gruda', 'Magdalena Grzybowska', 'Patrycja Helt', 'Kacper Jarnicki', 'Krystian Jarnuszkiewicz', 'Michał Karmowski', 'Flora Karpińska', 'Paweł Koślik', 'Piotr Kochanowski', 'Szymon Kochniarczyk', 'Stefania Kosmala', 'Martyna Krzysztofik', 'Enza La Paz', 'Apolonia Leśniak', 'Tosia Levi', 'Madame Meduse', 'Helena Myszkorowska', 'Konrad Niedźwiedź', 'Leonard Osiadło', 'Mirosław Owczarek', 'Jolanta Pacholak', 'Antonio Parol', 'Maja Pinczewska', 'Waldemar Pokromski', 'Andrzej Przywara', 'Iwo Rajski', 'Krzysztof Seroczyński', 'Joerg Sierenberg', 'Julian Studziński', 'Natalia Szczypka', 'Zbigniew Szymczyk', 'Jan Wieteska', 'Renata Wladman', 'Iga Wypych', 'Malwina Ziętek']"
1292461,0,"['RTBF', 'Le Parc Distribution']",['Belgium'],0,['French'],['Documentary'],85,,{'Director': 'Jérémy Parotte'},[]
1295451,0,['Uncla'],['United States of America'],0,[],[],0,,"{'Director': 'Aaron Lemle', 'Producer': 'Kennedy Love-Green', 'Associate Producer': 'Natalie Abeysena', 'Sound': 'Daniel Walter', 'Cinematography': 'Marcus Patterson', 'Writer': 'Aaron Lemle'}","['Khandi Alexander', 'Domonique Brown', 'Yvette Freeman', 'Ray Porter', 'Cynthia Zitter']"
1295078,0,['Beehive Films'],['United Kingdom'],0,[],[],0,,{'Director': 'Theo Tennant'},[]
1229646,0,"['Malabar Animation Studio', 'Dibulitoon Studio', 'Paycom Cinema', 'Tropics Creative']","['Argentina', 'Spain']",0,['Spanish'],"['Animation', 'Adventure']",0,,"{'Director': 'Diego Lucero', 'Producer': 'Peter Girbau', 'Associate Producer': 'Herby Delgado', 'Executive Producer': 'Jone Landaluze Iribarren', 'Production Assistant': 'Malena Schargrodsky', 'Music': 'Joseba Beristain', 'Writer': 'Beatriz Iso', 'Production Coordinator': 'José Alfredo Moraga Carvajal', 'Production Director': 'Jone Landaluze Iribarren'}",[]
1255559,0,['Falcon Pictures'],['Indonesia'],0,['Indonesian'],"['Drama', 'Romance']",0,,"{'Director': 'Pidi Baiq', 'Casting': 'Rahmi Suzi Elvira', 'Costume Designer': 'Quartini Sari', 'Makeup Artist': 'Sutomo', 'Sound Recordist': 'Decky Nelwan', 'Sound Designer': 'Satrio Budiono', 'Music': 'Andhika Triyadi', 'Editor': 'Wildan M. Cahyo', 'Art Direction': 'Eros Eflin', 'Director of Photography': 'Ipung Rachmat Syaiful', 'Novel': 'Pidi Baiq', 'Writer': 'Pidi Baiq', 'Line Producer': 'Arif Rahman Hakim', 'Producer': 'Frederica', 'Executive Producer': 'Dallas Sinaga'}","['M. Adhiyat', 'Malea Emma Tjandrawidjaja', 'Ira Wibowo', 'Bucek Depp', 'Graciella Abigail', 'Keanu Azka', 'Ferdy Adriansyah', 'Sulthan Hamonangan', 'Adzana Shaliha', 'Zayyan Sakha', 'Muzakki Ramdhan', 'Queen Lubis', 'Cleo Haura', 'Shania Diva', 'Quentin Stanislavski', 'Cok Simbara', 'Niniek L. Karim', 'Annisa Hertami', 'Daan Aria', 'Mieke Amalia']"
1289790,0,[],[],0,"['English', 'Portuguese']","['Comedy', 'Drama']",0,,"{'Director': 'Stella Corrá', 'Writer': 'Madalena Costa', 'Producer': 'Pedro Soares', 'Casting': 'Stella Corrá', 'Editor': 'Pedro Soares', 'Executive Producer': 'Madalena Costa', 'Assistant Director': 'Madalena Costa', 'Set Decoration': 'Ana Araújo', 'Costume Design': 'Pedro Soares', 'Camera Operator': 'Stella Corrá', 'Sound Recordist': 'João Damas', 'Sound Assistant': 'Ana Araújo', 'Art Direction': 'Madalena Costa', 'Cinematography': 'Stella Corrá'}","['Filipe Costa', 'Alexandra Bastos', 'Ruben Leite', 'Paulo Pinho', 'Ana Araújo']"
492200,0,['Mermade'],['United Kingdom'],0,['English'],['Drama'],153,"Mary Anning, fossiler of the 1800's Jurassic Coast strives for equality and recognition.","{'Director': 'Sharon Sheehan', 'Writer': 'Sharon Sheehan', 'Producer': 'Sharon Sheehan'}","['Sharon Sheehan', 'Jackie Howe', 'Anna Liddell', 'Tom Machell', 'Mark Fletcher', 'Jonathan Moore', 'Stuart Boother', 'Richard Morrison', 'Paul Storrier']"
