,id,original_language,popularity,release_date,title,vote_average,vote_count,budget,revenue,runtime,director,actor1,actor2,production_company,production_country,genre
1001,1141155,el,2.068,2024-04-04,Embryo Larva Butterfly,0.0,0,0,0,91,Kyros Papavassiliou,Maria Apostolakea,Hristos Sougaris,AMP Filmworks,Cyprus,Drama
1082,1167775,fa,1.256,2023-09-01,Son of the Mullah,10.0,1,0,0,100,Nahid Persson Sarvestani,Roholla Zam,Ali Javanmardi,RealReel Doc,Sweden,Documentary
1087,1164363,id,0.64,2024-02-22,Women from Rote Island,7.0,2,0,0,108,Jeremias Nyangoen,Merlinda Dessy Adoe,Irma Novita Rihi,Langit Terang Sinema,Indonesia,Drama
1088,833037,es,1.181,2021-06-08,Light Years,3.0,1,0,0,81,Joaquín Mauad,Gabriela Freire,Federico Repetto,Anfibia Cine,Mexico,Drama
1099,1185207,uk,1.032,2024-02-14,Lessons of Tolerance,7.5,2,0,43560,95,Arkadii Nepytaliuk,Olena Uzliuk,Oleksandr Yarema,Solar Media Entertainment,Ukraine,Comedy
1100,1246014,km,0.44,2024-03-14,The Night of the Cursed Reatrei,7.0,2,400000,0,95,Diep Sela,Jenna Norodom,Paing Takhon,Real Bros Film Production,Cambodia,Horror
1111,1297651,he,0.504,2024-05-06,Cat's Luck,0.0,0,0,0,108,Hanan Savyon,Hanan Savyon,Guy Amir,United King Films,Israel,Comedy
1112,1266782,kk,0.449,2023-11-09,Teach Me How to Live,0.0,0,0,0,90,Akan Satayev,Akan Satayev,Еркебулан Токтар,Tiger Films,Kazakhstan,Drama
1129,898354,ar,0.073,2022-09-28,A Second Life,0.0,0,0,0,93,Anis Lassoued,Chema Ben Chaabene,Yassine Tormsi,Lumières Films,Tunisia,Drama
1134,1271589,es,0.001,2024-06-20,Devil Dog Road,0.0,0,0,0,104,Guillermo Polo,Pablo Molinero,Mero González,Los Hermanos Polo,Spain,Adventure
1171,1298539,en,1.097,2024-02-23,A Game of Two Halves,0.0,0,0,0,100,Khayam Khan,Saaj Raja,Lucy Jackson,K Squared Films,India,Drama
